link;correct_ocr;misread_word;newspaper
http://hdl.handle.net/109.3.1/uuid:b1770f63-473d-432e-91cc-c6fed1ad968b;1;NA;lollandfalstersstiftstidende
http://hdl.handle.net/109.3.1/uuid:6374ce7a-f65d-4fb2-b0e9-58bc8ecd0567;1;NA;socialdemokraten
http://hdl.handle.net/109.3.1/uuid:d56a6712-756f-43c3-9276-0e763f5f5b54;1;NA;slagelseposten
http://hdl.handle.net/109.3.1/uuid:e1bdb7d1-b326-4b37-b28d-408cf5ec5387;1;NA;folketidenderingsted
http://hdl.handle.net/109.3.1/uuid:bc1944dc-6ada-4669-ab89-a2804b7a0525;0;notreadble;horsensfolkeblad
http://hdl.handle.net/109.3.1/uuid:e8a3981f-c151-46df-89fe-429bb9692064;0;Comiteen;berlingske
http://hdl.handle.net/109.3.1/uuid:486bb685-46ab-46ef-bd34-357bba0ff028;0;Kjøbenhavns;aarhusstiftstidende
http://hdl.handle.net/109.3.1/uuid:ee4a38c1-c9d9-4d71-85b8-1333b28d6222;0;Kjøbenhavns;aarhusstiftstidende
http://hdl.handle.net/109.3.1/uuid:09b0a791-b69a-444f-8eb5-d6089cc98ea7;1;NA;kjøbenhavnsadressecomtoirsefterretninger
http://hdl.handle.net/109.3.1/uuid:f47dda48-5e78-4d4b-9a35-a8a5fea8faae;1;NA;kjøbenhavnsadressecomtoirsefterretninger
http://hdl.handle.net/109.3.1/uuid:c17a64ef-a4be-4113-9fca-f0ded56608b9;0;Kjøbenhavn ;aalborgstiftstidende
http://hdl.handle.net/109.3.1/uuid:0b51bd0a-41e7-4a07-85f2-8dab7b32b744;0;Kjøbenhavn ;aalborgstiftstidende
http://hdl.handle.net/109.3.1/uuid:bb96e9cb-cda8-4eb1-b88c-c4b3ac073cb1;1;NA;aarhusstiftstidende
http://hdl.handle.net/109.3.1/uuid:f51856f4-2462-47d3-b4a2-498a0cb729f9;1;NA;vendsysseltidende
http://hdl.handle.net/109.3.1/uuid:3fb5d1ee-a503-4992-b61a-b34e097a4340;0;Kjøbenhavn;fyensstiftstidende
http://hdl.handle.net/109.3.1/uuid:b6f1688f-fac0-4e5e-bb16-8a28ef65c510;0;Kjøbenhavn;fyensstiftstidende
http://hdl.handle.net/109.3.1/uuid:9458ef8e-ff4f-4d63-ab5b-7ad474f7f42c;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:124cbb76-7bba-4267-8e2a-666a4c700e8b;0;Kjøbenhavn-Kønigsberg;berlingske
http://hdl.handle.net/109.3.1/uuid:8d5aeda0-437a-4c3f-b0b9-81babbd742eb;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:445d2cb1-c245-48be-8d96-2872495118fc;1;NA;berlingske
http://hdl.handle.net/109.3.1/uuid:b7fbf025-189a-4d25-adbe-36381c582753;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:1ef5e18e-909b-4362-8546-4b83f512e6f5;0;Døde;berlingske
http://hdl.handle.net/109.3.1/uuid:b2f08839-ee63-4230-9114-27218cd8bdae;1;NA;socialdemokraten
http://hdl.handle.net/109.3.1/uuid:4fb603c3-b73d-44e3-9903-c62d70617134;1;NA;ribestiftstidende
http://hdl.handle.net/109.3.1/uuid:74a2bf6b-a176-44a9-ada6-3490563e777c;1;NA;horsensfolkeblad
http://hdl.handle.net/109.3.1/uuid:e6f51202-e3e4-4ce9-bd08-37254bd90cfe;0;notreadble;lollandfalstersstiftstidende
http://hdl.handle.net/109.3.1/uuid:bf4a9c44-b370-4fe6-9681-8c4455f52d10;1;NA;faedrelandet
http://hdl.handle.net/109.3.1/uuid:2a48d2bd-e689-4912-a919-8f2ad8b24a1c;1;NA;faedrelandet
http://hdl.handle.net/109.3.1/uuid:8f7ad8b9-08fe-47d4-984f-d27900de2f53;0;Under;faedrelandet
http://hdl.handle.net/109.3.1/uuid:118ccfef-0391-4b29-bf08-fd78fc387ea3;0;Comiteen;lollandfalstersstiftstidende
http://hdl.handle.net/109.3.1/uuid:09e9c64f-c300-4159-bc61-0dae58126576;0;Seminariets;nationaltidende
http://hdl.handle.net/109.3.1/uuid:d511dcff-e4c6-4a30-92f5-df6d8727931c;1;NA;nationaltidende
http://hdl.handle.net/109.3.1/uuid:28a6824b-f977-4423-97a3-f5af7cfb86a7;0;Kjøbere Kjøbenhavns;dagensnyheder
http://hdl.handle.net/109.3.1/uuid:badd319d-6fbf-49f1-b747-abfff91dd134;0;Kjøb;dagensnyheder
http://hdl.handle.net/109.3.1/uuid:7b5ee3e2-e3f3-492c-9573-97385ecdc769;0;Gjødning;thistedamtsavis
http://hdl.handle.net/109.3.1/uuid:369d2f80-31c6-4103-8de3-e55999032fd8;0;Kjøbenhavn;randersamtsavis
http://hdl.handle.net/109.3.1/uuid:0810f42a-60e9-4554-bf0d-ef5c7519bdcd;1;NA;horsensavis
http://hdl.handle.net/109.3.1/uuid:f129e4a5-ffd7-4601-939e-b22e288121f4;0;Kjøbers.Kjøbenhavn.Kjøbenhavns;horsensavis
http://hdl.handle.net/109.3.1/uuid:2a1036f4-5f9f-4fb4-bf64-661d500be57b;1;NA;dagbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:cb1e930c-8dd6-4fc3-bef3-8540413474ab;0;Føre;dagbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:b55b5a57-271c-46ce-a64e-acdae007eee3;0;Døde;sjaellandspostenringsted
http://hdl.handle.net/109.3.1/uuid:7c6c0121-81fd-4d1a-b850-9085130de4e7;1;NA;kjoegeavis
http://hdl.handle.net/109.3.1/uuid:83ad585b-48b4-460a-9e06-4a8ed5770cd8;0;Kjøbenhavn;morgenbladetkoebenhavn
http://hdl.handle.net/109.3.1/uuid:074d54a2-8150-488f-8e39-a5549bf45f19;0;Kjøbenhavn;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:bce24fcc-d59a-478f-84ea-2c96467b4cbe;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:8f28e211-c048-449f-9834-bcaefa1b6d82;0;Kjøbmand;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:c752bcca-1ae5-457f-8acb-23c9b1d6ef03;0;Kjøbes;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:9b5403b2-a02b-4647-995b-a5269b75f650;1;NA;dagstelegrafenkoebenhavn
http://hdl.handle.net/109.3.1/uuid:2f760156-c277-4117-b80c-13ff6ad27afb;0;Gjødning;aarhusamtstidende
http://hdl.handle.net/109.3.1/uuid:70a178d0-575a-4a5b-bd7d-a3cae0625188;0;Kjøbenhavn;aarhusamtstidende
